"Username","Stimuli.Cue","affordance_parsed","word","lemma","POS.y"
"w10095068","apron","crumple","crumple","crumple","VERB"
"w10095061_jdn","apron","dirtied","dirtied","dirtie","VERB"
"w10095068","apron","dress up in","dress","dress","NOUN"
"w10128965ER","apron","dry","dry","dry","VERB"
"w10095068","apron","fold","fold","fold","VERB"
"w10095068","apron","garden in","garden","garden","VERB"
"w10095068","apron","hang up","hang","hang","VERB"
"w10095122_hr","apron","protect clothes","protect","protect","VERB"
"w10095061_jdn","apron","rubbed upon","rubbed","rub","VERB"
"w10095061_jdn","apron","rubbed upon","upon","upon","ADP"
"w10095068","apron","sell","sell","sell","VERB"
"w10095068","apron","sew","sew","sew","VERB"
"w10095068","apron","stain","stain","stain","VERB"
"w10128965ER","apron","wash","wash","wash","VERB"
"w10128965ER","apron","wash","wash","wash","VERB"
"w10095068","apron","wash","wash","wash","VERB"
"w10095068","apron","wash","wash","wash","VERB"
"w10095061_jdn","apron","washed","washed","washed","VERB"
"w10095068","apron","wear","wear","wear","VERB"
"w10095068","apron","wear","wear","wear","VERB"
"w10128965ER","apron","wear","wear","wear","VERB"
"w10128965ER","apron","wear","wear","wear","VERB"
"w10095068","apron","wipe hands on","hands","hand","NOUN"
"w10095068","apron","wipe hands on","wipe","wipe","VERB"
"w10095061_jdn","apron","worn","worn","wear","VERB"
"w10156073_sb","arachnid","a weapon ","weapon","weapon","VERB"
"w10090639","arachnid","joint-legged","joint","joint","ADJ"
"w10090639","arachnid","joint-legged","legged","leg","VERB"
"w10156073_sb","arachnid","pet","pet","pet","VERB"
"w10156073_sb","arachnid","research","research","research","VERB"
"w10090639","arachnid","spider","spider","spider","NOUN"
"w10135279_agl","arm","appendage","appendage","appendage","NOUN"
"w10135279_agl","arm","hand","hand","hand","NOUN"
"w10135279_agl","arm","hand","hand","hand","NOUN"
"w10115261_mmd","arm","hand","hand","hand","NOUN"
"w10115261_mmd","arm","hand","hand","hand","NOUN"
"w10134255","arm","on body","body","body","NOUN"
"w10134255","arm","right to bear arms","right","right","INTJ"
"w10135279_agl","arm","wrestle","wrestle","wrestle","VERB"
"w10079083_bdd","armband","sell","sell","sell","VERB"
"w10079083_bdd","armband","store","store","store","VERB"
"w10079083_bdd","armband","store","store","store","VERB"
"w10136710_edj","armband","to buy","buy","buy","VERB"
"w10136710_edj","armband","to enter an amusement park","amusement","amusement","NOUN"
"w10136710_edj","armband","to enter an amusement park","enter","enter","VERB"
"w10136710_edj","armband","to enter an amusement park","park","park","NOUN"
"w10136710_edj","armband","to give","give","give","VERB"
"w10136710_edj","armband","to put on","put","put","VERB"
"w10136710_edj","armband","to sell","sell","sell","VERB"
"w10079083_bdd","armband","use","use","use","VERB"
"w10079083_bdd","armband","wear","wear","wear","VERB"
"w10155081_KD","arrow","aim","aim","aim","VERB"
"w10099735_dnm","arrow","direction","direction","direction","VERB"
"w10155081_KD","arrow","pierce","pierce","pierce","VERB"
"w10099735_dnm","arrow","poke","poke","poke","VERB"
"w10155081_KD","arrow","shoot","shoot","shoot","VERB"
"w10155081_KD","arrow","throw","throw","throw","VERB"
"w10141264AL","artichoke","cooking","cooking","cook","VERB"
"w10116250_AAG","artichoke","eat","eat","eat","VERB"
"w10116250_AAG","artichoke","pickle","pickle","pickle","VERB"
"w10116250_AAG","artichoke","plant","plant","plant","VERB"
"w10122952BM","artifact","ancient materials","ancient","ancient","ADJ"
"w10122952BM","artifact","ancient materials","materials","materials","NOUN"
"10115261_mmd","artifact","history","history","history","NOUN"
"w10122952BM","artifact","job that finds artifacts ","artifacts","artifact","NOUN"
"w10122952BM","artifact","job that finds artifacts ","finds","find","NOUN"
"w10122952BM","artifact","job that finds artifacts ","job","job","NOUN"
"w10134960_kac","artifact","kept","kept","keep","VERB"
"10115261_mmd","artifact","law","law","law","NOUN"
"w10134960_kac","artifact","looked at","looked","look","VERB"
"w10122952BM","artifact","museum","museum","museum","NOUN"
"w10121575KN","artist","creates art and make money ","art","art","NOUN"
"w10121575KN","artist","creates art and make money ","creates","create","VERB"
"w10121575KN","artist","creates art and make money ","make","make","VERB"
"w10121575KN","artist","creates art and make money ","money","money","NOUN"
"w10134960_kac","ash","art","art","art","NOUN"
"w10122952BM","ash","ash from a fire","ash","ash","INTJ"
"w10122952BM","ash","ash from a fire","fire","fire","NOUN"
"10115261_mmd","ash","dead body","body","body","NOUN"
"10115261_mmd","ash","dead body","dead","dead","ADJ"
"10115261_mmd","ash","fire","fire","fire","NOUN"
"10115261_mmd","ash","paint","paint","paint","VERB"
"w10155081_KD","ashcan","ash","ash","ash","INTJ"
"w10155081_KD","ashcan","discard","discard","discard","VERB"
"w10099735_dnm","ashcan","hold ash","ash","ash","INTJ"
"w10099735_dnm","ashcan","hold ash","hold","hold","VERB"
"w10051899_vpm","ashes","bug protection","bug","bug","NOUN"
"w10156253","ashes","fire","fire","fire","NOUN"
"w10051899_vpm","ashes","make soap","make","make","VERB"
"w10051899_vpm","ashes","make soap","soap","soap","NOUN"
"w10128564","ashtray","clean","clean","clean","VERB"
"w10128564","ashtray","empty","empty","empty","VERB"
"w10128564","ashtray","fill up","fill","fill","VERB"
"w10140655_tti","ashtray","hold ash","ash","ash","INTJ"
"w10140655_tti","ashtray","hold ash","hold","hold","VERB"
"w10128564","ashtray","move ","move","move","VERB"
"w10137767_tac","asparagus","cook","cook","cake","VERB"
"w10137767_tac","asparagus","eat","eat","eat","VERB"
"w10110732","asparagus","food","food","food","NOUN"
"w10137767_tac","asparagus","plant","plant","plant","NOUN"
"w10137767_tac","asparagus","turn pee green","green","green","ADJ"
"w10137767_tac","asparagus","turn pee green","pee","pee","NOUN"
"w10137767_tac","asparagus","turn pee green","turn","turn","VERB"
"w10123187_kb","asphalt","drive on","drive","drive","VERB"
"w10129236_kj","asphalt","game","game","game","NOUN"
"w10129236_kj","asphalt","road","road","road","NOUN"
"w10132314MGB","ass","booty","booty","booty","NOUN"
"w10132314MGB","ass","bottom","bottom","bottom","NOUN"
"w10132314MGB","ass","butt","butt","butt","NOUN"
"w10132516JAG","ass","hit","hit","hit","VERB"
"w10132314MGB","ass","hole","hole","hole","NOUN"
"w10132314MGB","ass","juicy","juicy","juicy","ADJ"
"w10132516JAG","ass","punch","punch","punch","VERB"
"w10132314MGB","ass","rear end","end","end","NOUN"
"w10132314MGB","ass","rear end","rear","rear","ADJ"
"w10132314MGB","ass","rear","rear","rear","ADJ"
"w10132314MGB","ass","rump","rump","rump","NOUN"
"w10132516JAG","ass","slap","slap","slap","VERB"
"w10132314MGB","ass","tush","tush","tush","INTJ"
"W10135983RS","assemblyman","makes decisions and laws","laws","law","NOUN"
"W10135983RS","assemblyman","makes decisions and laws","makes","make","VERB"
"w10127046_lob","attire","be a complete outfit","complete","complete","ADJ"
"w10127046_lob","attire","be a complete outfit","outfit","outfit","NOUN"
"w10127046_lob","attire","show personality","personality","personality","NOUN"
"w10127046_lob","attire","show personality","show","show","VERB"
"w10127046_lob","attire","show status","show","show","VERB"
"w10127046_lob","attire","show status","status","status","VERB"
"w10127046_lob","attire","wear on person","person","person","NOUN"
"w10127046_lob","attire","wear on person","wear","wear","VERB"
"w10079083_bdd","attorney","law","law","law","NOUN"
"w10079083_bdd","attorney","protect","protect","protect","VERB"
"w10136710_edj","attorney","to argue with","argue","argue","VERB"
"w10136710_edj","attorney","to hire","hire","hire","VERB"
"w10136710_edj","attorney","to make a song about","make","make","VERB"
"w10136710_edj","attorney","to make a song about","song","song","NOUN"
"w10136710_edj","attorney","to marry","marry","marry","VERB"
"w10136710_edj","attorney","to sue","sue","sue","NOUN"
"w10138556_HA","auditorium","hold meeting","hold","hold","VERB"
"w10138556_HA","auditorium","store things","store","store","VERB"
"w10138556_HA","auditorium","store things","things","thing","NOUN"
"w10138556_HA","auditorium","watch plays","plays","play","VERB"
"w10138556_HA","auditorium","watch plays","watch","watch","VERB"
"w10144257KW","author","compromise","compromise","compromise","VERB"
"w10144257KW","author","direct","direct","direct","VERB"
"w10144257KW","author","influence ","influence","influence","VERB"
"w10144257KW","author","read","read","read","VERB"
"w10144257KW","author","talk","talk","talk","VERB"
"w10104063_cmc","auto","car","car","car","NOUN"
"w10104063_cmc","auto","car","car","car","NOUN"
"w218848","auto","car","car","car","NOUN"
"w218848","auto","car","car","car","NOUN"
"w10011881DND","auto","drive","drive","drive","VERB"
"w10011881DND","auto","drive","drive","drive","VERB"
"w10104063_cmc","auto","drive","drive","drive","VERB"
"w10104063_cmc","auto","drive","drive","drive","VERB"
"w10104063_cmc","auto","fix","fix","fix","VERB"
"w10011881DND","auto","move","move","move","VERB"
"w10127945","auto","self","self","self","NOUN"
"w10011881DND","auto","transport","transport","transport","VERB"
"w10071291BY","automotive","fix","fix","fix","VERB"
"w10071291BY","automotive","replace","replace","replace","VERB"
"w10133128_KC","automotive","transport","transport","transport","VERB"
"w10133128_KC","automotive","travel","travel","travel","VERB"
"w10155081_KD","avocado","cut","cut","cut","VERB"
"w10099735_dnm","avocado","eat","eat","eat","VERB"
"w10155081_KD","avocado","make guacamole","guacamole","guacamole","VERB"
"w10155081_KD","avocado","make guacamole","make","make","VERB"
"w10099735_dnm","avocado","make other foods","foods","food","VERB"
"w10099735_dnm","avocado","make other foods","make","make","VERB"
"w10155081_KD","avocado","roll","roll","roll","VERB"
"w10155081_KD","avocado","smoosh","smoosh","smoosh","VERB"
"w10155081_KD","avocado","toss","toss","toss","VERB"
"w10140932","ax","chopping things like wood","like","like","INTJ"
"w10140932","ax","chopping things like wood","things","thing","NOUN"
"w10140932","ax","chopping things like wood","wood","wood","NOUN"
"w10042527_rkw","ax","cutting","cutting","cut","VERB"
"w10156073_spb","axe","art reference","art","art","NOUN"
"w10156073_spb","axe","art reference","reference","reference","VERB"
"w10156073_spb","axe","chop","chop","chop","VERB"
"w10134604_tap","axe","cut trees","cut","cut","VERB"
"w10134604_tap","axe","cut trees","trees","tree","NOUN"
"w10134604_tap","axe","cut wood","cut","cut","VERB"
"w10134604_tap","axe","cut wood","wood","wood","NOUN"
"w10138393","axe","cut","cut","cut","VERB"
"w213552","axe","eaten","eaten","eat","VERB"
