Cue,Answer,Shuffle,Stimuli Notes,Value,Rand
ticket,,164,5.333333333,2692,0.82890071
footballer,,165,5.041666667,1031,0.824671402
snowfall,,166,4.347826087,2433,0.405301502
blindfold,,167,5.125,237,0.416830365
harvest,,168,4.464285714,1256,0.861077807
wand,,169,5.08,2892,0.374452273
crystal,,170,4.37037037,720,0.826771226
bird,,171,4.896551724,220,0.733213397
negligee,,172,4.75,1749,0.715344787
tabasco,,173,5.260869565,2615,0.993494851
whisky,,174,5.857142857,2931,0.820907003
scale,,175,5.652173913,2259,0.959918952
balcony,,176,4.739130435,127,0.967270436
canvass,,177,4.347826087,421,0.150190136
ginger,,178,5.32,1104,0.498173145
berry,,179,5.523809524,205,0.969656849
tofu,,180,5.555555556,2717,0.437108817
silk,,181,4.8,2381,0.034768165
motorboat,,182,5.304347826,1695,0.811208955
daddy,,183,5.24,745,0.735675552
mucous,,184,5.04,1708,0.347707986
peanut,,185,6.192307692,1893,0.453329457
grapevine,,186,4.869565217,1158,0.487928979
cheese,,187,6.391304348,506,0.129625892
radish,,188,5.846153846,2124,0.531176794
tent,,189,5.5,2664,0.327375285
cushion,,190,5.75,733,0.398237917
storeroom,,191,4.655172414,2553,0.339147887
grandniece,,192,4.708333333,1150,0.142005772
Guitar,,193,6.293243243,1193,0.95517357
suspender,,194,5.76,2598,0.221741609
kilt,,195,5.04,1418,0.513162464
eyelid,,196,5.52173913,936,0.012579093
goldfish,,197,4.739130435,1133,0.534894394
person,,198,6.12,1930,0.592409662
eyebath,,199,4.368421053,931,0.777702105
pine,,200,4.347826087,1970,0.173169325
banquet,,201,4.538461538,145,0.584411792
controller,,202,5.458333333,630,0.185721244
conductor,,203,4.75,624,0.037513054
store,,204,5.739130435,2550,0.221295865
people,,205,6.076923077,1920,0.177409365
salesman,,206,4.84,2222,0.865631611
medic,,207,5.217391304,1636,0.409608525
mulch,,208,4.625,1715,0.00079572
funnel,,209,4.833333333,1065,0.655532881
pad,,210,5.217391304,1840,0.069479316
drug,,211,5.375,852,0.400751294
roll,,212,4.44,2187,0.118404242
arrow,,213,4.92,76,0.32863745
seating,,214,4.84,2302,0.90340916
linoleum,,215,4.62962963,1519,0.262823842
pantry,,216,5.260869565,1860,0.771460967
beef,,217,5.714285714,189,0.160382134
paperback,,218,5.090909091,1863,0.914778388
torchlight,,219,4.64,2738,0.501435614
avocado,,220,6.24137931,103,0.11835624
motel,,221,4.48,1689,0.151002659
groundsman,,222,4.333333333,1183,0.64899298
strongbox,,223,4.454545455,2571,0.678876617
excavator,,224,4.409090909,925,0.140617165
eggplant,,225,5.807692308,894,0.26688468
phalanges,,226,4.35,1937,0.497580512
accordion,,227,5.826086957,5,0.076040939
stick,,228,6.16,2535,0.473992945
illustrator,,229,4.48,1351,0.733873145
fruit,,230,6,1060,0.931705867
client,,231,4.545454545,558,0.033017559
case,,232,4.272727273,445,0.110016369
hoe,,233,5.545454545,1294,0.814565241
body,,234,6.038461538,260,0.738290174
matter,,235,4.4,1625,0.181387363
shelter,,236,5.269230769,2335,0.866817871
ashcan,,237,4.571428571,82,0.707229995
plum,,238,5.62962963,2010,0.625895758
creek,,239,4.52,691,0.967555981
tailcoat,,240,5.47826087,2624,0.573904042
mayor,,241,4.28,1629,0.300205289
bench,,242,6.166666667,203,0.96821643
rancher,,243,4.68,2137,0.77966363
block,,244,5.413793103,239,0.767968501
tyke,,245,5.05,2813,0.492849182
duck,,246,5.041666667,859,0.394435726
tube,,247,4.916666667,2791,0.621648514
vessel,,248,4.925925926,2852,0.127753764
suit,,249,6.52173913,2582,0.02685761
belly,,250,5.846153846,200,0.99406305
asparagus,,251,5.56,85,0.630185252
landscape,,252,4.384615385,1462,0.792855773
strainer,,253,4.875,2557,0.13601316
coleslaw,,254,4.72,599,0.022418683
token,,255,5.2,2721,0.805795808
wound,,256,4.583333333,2976,0.28598123
cane,,257,6.068965517,413,0.55347765
elbow,,258,6.458333333,896,0.003681913
chemicals,,259,5.04,510,0.869697856
veal,,260,4.5,2840,0.767300611
shell,,261,5.291666667,2333,0.088519981
goblet,,262,5.826086957,1125,0.285427589
clay,,263,5.52,551,0.620791367
saleslady,,264,4.28,2221,0.151974823
purse,,265,6.291666667,2105,0.327813639
wrapper,,266,5.791666667,2978,0.869670923
hardware,,267,5.52,1249,0.839198693
platter,,268,5.75,1998,0.769402376
altarpiece,,269,4.80952381,31,0.560695239
orchard,,270,4.333333333,1816,0.055847864
blood,,271,5.32,241,0.08594957
rind,,272,5.130434783,2169,0.664046384
roach,,273,4.708333333,2175,0.395734389
brochure,,274,6.2,328,0.668092125
skate,,275,4.913043478,2389,0.938018471
armband,,276,5.347826087,72,0.049652796
bun,,277,5.916666667,358,0.584944048
battleship,,278,4.36,173,0.39164063
herbivore,,279,4.363636364,1281,0.631896552
handsaw,,280,6.076923077,1242,0.593910794
cheesecake,,281,6.458333333,507,0.613028215
propeller,,282,4.36,2075,0.73449641
locker,,283,5.538461538,1536,0.725643554
dagger,,284,5.923076923,747,0.702221797
plywood,,285,4.807692308,2012,0.062112639
book,,286,6.47826087,270,0.707686772
ferret,,287,5,965,0.858157816
rhubarb,,288,5.260869565,2163,0.385472216
newsagent,,289,4.333333333,1755,0.952280838
stewardess,,290,5.12,2534,0.530141433
wine,,291,5.791666667,2947,0.409347929
scrubber,,292,4.32,2291,0.499092778
teeth,,293,6.275862069,2658,0.183398875
pickle,,294,5.730769231,1950,0.68035239
attorney,,295,4.72,96,0.024759144
biscuit,,296,5.964285714,224,0.543097729
nostril,,297,5.208333333,1780,0.14406699
horsewhip,,298,4.652173913,1317,0.236780788
snowdrift,,299,4.304347826,2432,0.019238217
accessory,,300,4.72,4,0.812672731
acupuncture,,301,5.285714286,12,0.916607563
device,,302,5.75,784,0.029470498
crust,,303,5.125,716,0.683574325
kettledrum,,304,4.916666667,1410,0.325157872
casserole,,305,5.88,452,0.300410442
nut,,306,5.555555556,1789,0.73002974
bondsman,,307,4.416666667,266,0.076800302
rectum,,308,5.041666667,2150,0.369250805
apartments,,309,4.851851852,56,0.982478451
flatiron,,310,5.590909091,1004,0.687807092
butt,,311,5.652173913,374,0.608581961
hibachi,,312,4.666666667,1284,0.898411228
stepdaughter,,313,4.72,2525,0.735803548
flowerpot,,314,5,1017,0.528229772
grandchild,,315,5.24,1145,0.440329114
corn,,316,6,644,0.631792512
belt,,317,5.80952381,202,0.73583162
mullets,,318,4.304347826,1718,0.363544582
trigger,,319,5.16,2776,0.22608946
molasses,,320,5,1675,0.906722331
village,,321,4.44,2858,0.883973737
teaspoonful,,322,4.4,2654,0.628822153
taffy,,323,4.6,2622,0.044666984
dirt,,324,5.08,801,0.738677518
raincoat,,325,5.954545455,2130,0.311146933
pan,,326,6.409090909,1856,0.49712645
billiards,,327,4.925925926,216,0.526458122
parakeet,,328,5.12,1870,0.759142375
mongoose,,329,4.5,1679,0.318991097
furnace,,330,4.68,1066,0.954439673
bystander,,331,4.791666667,384,0.176677262
ruby,,332,4.76,2202,0.999381206
champagne,,333,5.583333333,493,0.717474064
String,,334,5.626180837,2568,0.200879423
dairy,,335,4.28,750,0.234031096
dock,,336,4.541666667,808,0.423772685
bass,,337,4.37037037,164,0.261790448
necklace,,338,5.821428571,1741,0.573731001
mulberry,,339,4.703703704,1714,0.382484128
mall,,340,4.36,1582,0.724230565
hip,,341,5.086956522,1291,0.796894413
mayonnaise,,342,5.523809524,1628,0.940541237
flower,,343,5.916666667,1015,0.960657599
stockings,,344,5.84,2542,0.41824356
beet,,345,5.32,193,0.704074452
fungus,,346,4.32,1064,0.562088746
condiment,,347,5.76,620,0.735373904
closet,,348,4.962962963,567,0.361293617
toddler,,349,5.875,2714,0.989271668
sifter,,350,4.782608696,2378,0.890528918
dumbbell,,351,5.958333333,865,0.537684107
man,,352,5.346153846,1586,0.963710737
bartender,,353,4.64,156,0.909538497
hourglass,,354,4.583333333,1325,0.78313885
pinkie,,355,5.260869565,1974,0.365615857
shot,,356,4.392857143,2360,0.644561162
someone,,357,4.625,2450,0.34986421
certificate,,358,5.041666667,482,0.737715679
cobweb,,359,4.916666667,584,0.98810054
showerhead,,360,5.041666667,2365,0.714334081
playroom,,361,4.52,2002,0.997042581
vine,,362,5,2861,0.61166655
oxtail,,363,4.444444444,1833,0.689826492
wagon,,364,5.375,2879,0.532098663
kitty,,365,6.043478261,1429,0.453664291
addict,,366,4.391304348,14,0.936846179
vein,,367,4.44,2845,0.79635902
amulet,,368,5.291666667,38,0.945444984
topsoil,,369,4.92,2736,0.060076604
anus,,370,5.16,53,0.855006191
trinket,,371,4.791666667,2777,0.513796891
liqueur,,372,5.666666667,1523,0.514690223
kelp,,373,4.826086957,1405,0.939151548
panhandler,,374,4.92,1857,0.743916508
blackberry,,375,5.416666667,227,0.420605991
testes,,376,5.083333333,2670,0.365065355
jogger,,377,5,1388,0.230792378
vest,,378,6,2853,0.512853941
cotton,,379,5.28,660,0.699170843
soil,,380,5.703703704,2445,0.661757319
menu,,381,5.869565217,1646,0.96657729
glycerine,,382,4.434782609,1119,0.669574034
crawfish,,383,4.666666667,685,0.801608849
eraser,,384,5.791666667,918,0.580572305
rake,,385,6.136363636,2135,0.130502969
pharmacist,,386,5.041666667,1938,0.613609609
spareribs,,387,4.869565217,2462,0.762225704
copybook,,388,5,639,0.154773771
squirrel,,389,4.346153846,2494,0.26351966
cabinet,,390,5.64,389,0.578190345
suede,,391,5,2579,0.789364521
granddaughter,,392,5,1146,0.297785625
milkshake,,393,6.4,1661,0.405807635
crayon,,394,6.36,687,0.757072392
driftwood,,395,5.416666667,847,0.062436585
doorstep,,396,5.333333333,828,0.890046073
hairpin,,397,6.125,1216,0.666214022
author,,398,4.4,99,0.200635735
vagina,,399,6.041666667,2832,0.891669639
hutch,,400,4.708333333,1342,0.734778001
tuba,,401,5.130434783,2790,0.842475897
Cheeseburger,,402,,3001,0.984642943
booth,,403,4.92,282,0.969318496
broker,,404,4.464285714,330,0.943244842
earring,,405,6.428571429,881,0.521190906
clip,,406,4.833333333,560,0.891548733
cleat,,407,4.5,552,0.773806135
hamstring,,408,5.08,1227,0.328162604
brassiere,,409,5.666666667,306,0.051810651
paperhanger,,410,4.625,1864,0.502533879
seasoning,,411,4.47826087,2300,0.716339829
turnip,,412,6.12,2802,0.422574159
flannels,,413,5.681818182,999,0.343571271
tonic,,414,5.086956522,2729,0.364464127
cocktail,,415,5.481481481,588,0.859802123
pellet,,416,4.296296296,1910,0.819706786
doctor,,417,5.68,809,0.103957311
fisherman,,418,4.851851852,991,0.998556078
pedestal,,419,4.88,1901,0.811557585
cord,,420,6.103448276,640,0.523772766
sundeck,,421,4.5,2586,0.114183625
investigator,,422,4.888888889,1367,0.47461087
claw,,423,4.391304348,550,0.085968356
sibling,,424,5.04,2373,0.526230235
money,,425,6.291666667,1677,0.69421982
newsstand,,426,5.458333333,1764,0.165548754
cap,,427,5.826086957,422,0.328762048
trapeze,,428,4.958333333,2763,0.021755234
thermometer,,429,5.56,2676,0.363619709
oceanographer,,430,4.44,1800,0.127937549
apartment,,431,4.6,55,0.282470897
flounder,,432,4.52173913,1013,0.365858235
slut,,433,4.652173913,2420,0.469760498
restaurant,,434,5.275862069,2159,0.75962687
refrigerator,,435,5.851851852,2152,0.017631805
racket,,436,5.24,2120,0.111236528
parachutist,,437,4.6,1869,0.022813055
rod,,438,4.454545455,2185,0.868683002
essay,,439,4.333333333,922,0.993576252
cake,,440,6.086956522,399,0.792412943
corridor,,441,4.5,651,0.966954402
storekeeper,,442,4.75,2552,0.711529641
lifeboat,,443,5.333333333,1504,0.414036557
burger,,444,6.111111111,365,0.030114514
keyboard,,445,6.08,1412,0.85415253
pooch,,446,5.045454545,2031,0.306327361
newlyweds,,447,4.772727273,1754,0.905080051
grandma,,448,5.769230769,1148,0.122398019
tongs,,449,5.826086957,2727,0.638758823
teapot,,450,6.2,2649,0.536720356
mortician,,451,4.833333333,1686,0.045579899
soap,,452,6.434782609,2437,0.273714235
sardine,,453,4.869565217,2242,0.892913517
thigh,,454,5.76,2680,0.793867773
satin,,455,5.125,2246,0.101934862
scientist,,456,4.47826087,2274,0.507361683
checklist,,457,4.464285714,501,0.535152959
coal,,458,4.875,579,0.494851678
note,,459,5.434782609,1781,0.11652109
raindrop,,460,5.208333333,2131,0.395585786
spatula,,461,5.708333333,2463,0.284019134
linen,,462,5.875,1517,0.282871373
lip,,463,5.52173913,1521,0.029003979
genital,,464,5.826086957,1095,0.838010994
lake,,465,5.035714286,1452,0.957672416
apprentice,,466,4.321428571,65,0.613222279
nickel,,467,5.814814815,1766,0.592286248
cocaine,,468,5.913043478,585,0.903342053
collar,,469,5.12,600,0.026191584
easel,,470,4.72,885,0.908131854
bayonet,,471,4.916666667,174,0.190081034
paraphernalia,,472,4.5,1871,0.999105159
stoop,,473,4.5,2548,0.965520337
mutton,,474,5,1729,0.300420837
pole,,475,5.32,2020,0.760021962
cellar,,476,4.6,472,0.992638044
jean,,477,5.956521739,1378,0.274659644
paintbox,,478,4.44,1848,0.023317079
policewoman,,479,4.904761905,2023,0.204056132
rupee,,480,4.826086957,2208,0.272774302
parka,,481,5.875,1876,0.805264649
groom,,482,5,1181,0.795382639
bookseller,,483,5,278,0.987732434
wastebasket,,484,6.217391304,2904,0.952578602
drill,,485,5.739130435,848,0.55221895
headphones,,486,6.083333333,1269,0.257158523
gearbox,,487,5.041666667,1092,0.483566212
gingersnap,,488,4.703703704,1106,0.844195125
caddy,,489,4.913043478,393,0.357783512
memorabilia,,490,4.434782609,1643,0.578632093
rum,,491,5.64,2206,0.418822922
kitten,,492,6.4,1428,0.954803536
jacket,,493,6.333333333,1370,0.521573786
feline,,494,5.458333333,959,0.291234004
bubble,,495,4.64,339,0.446014369
kid,,496,5.68,1414,0.836964408
chapel,,497,4.52,494,0.136839401
leech,,498,4.291666667,1484,0.291119552
handbook,,499,5.782608696,1231,0.767395268
nutshell,,500,4.375,1793,0.66125809
colander,,501,6,598,0.920044528
frame,,502,4.956521739,1053,0.823962679
wart,,503,4.56,2894,0.169280994
mincemeat,,504,5.083333333,1662,0.960305963
aftershave,,505,5.375,18,0.348121216
fingerboard,,506,5.15,978,0.460991121
sleigh,,507,4.84,2410,0.204229314
doorknob,,508,6.518518519,824,0.694713047
spice,,509,5.125,2470,0.414376322
washerwoman,,510,4.55,2900,0.585234567
programmer,,511,4.695652174,2071,0.979417302
chimpanzee,,512,4.260869565,525,0.027839326
appetizer,,513,6.12,60,0.088357206
orphan,,514,5.259259259,1824,0.409410216
guard,,515,5,1184,0.014898881
eyeball,,516,5.555555556,930,0.887767133
croquet,,517,4.84,701,0.291263355
croissant,,518,6,699,0.195516583
breastplate,,519,5.136363636,314,0.791797957
cosmetician,,520,4.8,655,0.584332234
boy,,521,4.962962963,296,0.235786191
dishwasher,,522,5.592592593,803,0.012255055
semen,,523,5.269230769,2310,0.728002682
packaging,,524,5.038461538,1838,0.013887713
skewer,,525,4.5,2396,0.276241995
upholstery,,526,5.461538462,2827,0.065017905
capacitor,,527,4.375,423,0.29017358
thread,,528,4.76,2684,0.433773044
inventor,,529,4.391304348,1366,0.759903521
armor,,530,5.333333333,74,0.187270689
sweater,,531,6.592592593,2604,0.037244496
adapter,,532,4.583333333,13,0.866092268
espresso,,533,5.24,921,0.53592974
leopard,,534,5.260869565,1492,0.304149864
bellboy,,535,4.8,197,0.341449251
girlfriend,,536,5.730769231,1109,0.219592421
Elevator,,537,5.486522911,901,0.750646332
basin,,538,4.818181818,161,0.378920968
tenderloin,,539,4.962962963,2663,0.710184563
coupon,,540,4.821428571,667,0.305307499
kerchief,,541,5.666666667,1406,0.493496181
plaster,,542,4.4,1993,0.665997379
goggles,,543,6.125,1131,0.800491874
couch,,544,6.260869565,661,0.619410451
saltwater,,545,5.192307692,2229,0.240965939
barley,,546,4.541666667,149,0.391499549
tray,,547,5.166666667,2768,0.711278044
derriere,,548,5.5,778,0.071649372
lubrication,,549,4.333333333,1555,0.460781999
bagpipes,,550,5,124,0.570726592
godparent,,551,5.260869565,1129,0.144202147
enamel,,552,4.652173913,905,0.497490187
goose,,553,5.260869565,1138,0.494045205
steak,,554,5.75,2515,0.944862222
backpack,,555,5.72,116,0.596868112
tear,,556,4.44,2650,0.64593677
switchblade,,557,5.869565217,2609,0.252814962
lantern,,558,5.653846154,1463,0.56962793
letterbox,,559,4.56,1496,0.230726376
woodcutter,,560,4.44,2960,0.152234376
vulva,,561,5.16,2876,0.286824315
cage,,562,5.291666667,398,0.458861103
splinter,,563,4.652173913,2478,0.624463816
raft,,564,5.36,2125,0.368001778
toe,,565,5.954545455,2715,0.055815318
kitchen,,566,5.625,1425,0.900817788
cookie,,567,6.5,633,0.354504033
treadmill,,568,6,2769,0.114264323
yardstick,,569,5.956521739,2990,0.862814499
silkworm,,570,5.208333333,2382,0.564942119
flapjack,,571,5.2,1000,0.795806976
dinner,,572,5.545454545,795,0.224312152
jam,,573,5.173913043,1372,0.856688434
cocoa,,574,5.625,589,0.771924307
garage,,575,4.96,1073,0.507161058
poinsettia,,576,5.347826087,2018,0.660986177
skittle,,577,5,2401,0.959116035
novel,,578,5.4,1783,0.135347184
tambourine,,579,5.916666667,2628,0.900070154
instructor,,580,4.583333333,1360,0.834414594
theatergoer,,581,5,2673,0.209563183
seedling,,582,5.083333333,2309,0.909423363
shack,,583,5.125,2317,0.345258516
hashish,,584,4.909090909,1257,0.234929947
craftsman,,585,4.833333333,679,0.422256989
sedan,,586,5.565217391,2306,0.20374677
antennae,,587,4.538461538,47,0.730388709
buddy,,588,4.916666667,344,0.678293363
breasts,,589,6.173913043,315,0.727607181
pastry,,590,6.086956522,1886,0.101584578
rodent,,591,5.041666667,2186,0.950545873
sketchbook,,592,5.833333333,2394,0.383818306
firewood,,593,5.72,987,0.915415576
smock,,594,5.08,2421,0.292298633
neurologist,,595,4.384615385,1753,0.636652588
crosswalk,,596,4.714285714,706,0.39617836
gem,,597,5.517241379,1093,0.914098667
obstetrician,,598,5.04,1798,0.141308746
stepladder,,599,6.130434783,2527,0.499161262
oilcloth,,600,5.125,1803,0.545634211
gangster,,601,4.36,1072,0.054989468
toiletry,,602,5.222222222,2720,0.520201344
ammo,,603,5.32,34,0.622457557
frog,,604,5.125,1058,0.312710997
snowshoe,,605,5.541666667,2436,0.966183453
lizard,,606,4.925925926,1529,0.691592618
cutlery,,607,5.913043478,738,0.205029454
whore,,608,4.782608696,2933,0.200273959
checkerboard,,609,5.391304348,500,0.472581554
seaweed,,610,4.458333333,2304,0.605127755
organ,,611,5.185185185,1820,0.477300305
schoolhouse,,612,5.291666667,2272,0.759838801
quill,,613,4.565217391,2115,0.894304697
bell,,614,5.76,196,0.555805327
sunflower,,615,5.333333333,2587,0.961970071
muffler,,616,4.75,1712,0.151193811
iguana,,617,5.166666667,1350,0.213044893
splint,,618,4.958333333,2477,0.375782064
can,,619,4.88,408,0.104956358
condominium,,620,4.678571429,623,0.282304847
cadillac,,621,5.12,395,0.211302837
bugle,,622,4.541666667,348,0.410731421
steroids,,623,4.52,2532,0.748126488
ring,,624,6.130434783,2170,0.00520631
washroom,,625,5.037037037,2901,0.496721159
spinach,,626,4.96,2474,0.316902867
guesthouse,,627,4.913043478,1189,0.51706315
gumdrop,,628,5.875,1197,0.232209206
placenta,,629,4.28,1984,0.391387386
piano,,630,6.166666667,1947,0.924463791
trunk,,631,5.217391304,2788,0.288599309
carport,,632,4.28,439,0.557499565
seawater,,633,4.961538462,2303,0.081957919
tutor,,634,4.608695652,2807,0.295026168
mountainside,,635,4.708333333,1700,0.685106443
parachute,,636,4.68,1868,0.70599198
beach,,637,5.666666667,176,0.555141902
nightstick,,638,5.434782609,1774,0.995322937
buckwheat,,639,4.44,343,0.235284908
needlepoint,,640,4.576923077,1746,0.71513555
diaphragm,,641,4.269230769,788,0.761321461
rabbit,,642,5,2117,0.225154992
peephole,,643,4.875,1907,0.044058693
boat,,644,5.130434783,255,0.951563463
wigmaker,,645,4.36,2936,0.405238599
pumpernickel,,646,5.130434783,2097,0.008330352
shield,,647,5.037037037,2338,0.491439171
boomerang,,648,5.666666667,280,0.252502843
stockbroker,,649,4.851851852,2540,0.731101603
clipper,,650,4.923076923,562,0.212052319
artist,,651,4.782608696,80,0.726156662
television,,652,5.6,2660,0.764587344
shed,,653,4.333333333,2327,0.019949413
rosebush,,654,5.333333333,2195,0.69052429
puddle,,655,5,2089,0.140663882
junk,,656,4.962962963,1396,0.125346107
clam,,657,4.375,545,0.559495965
dress,,658,6.16,843,0.914545624
stool,,659,6.076923077,2547,0.995036771
drone,,660,4.291666667,851,0.529488215
child,,661,5.695652174,520,0.099947346
podiatrist,,662,4.791666667,2016,0.413157165
lasso,,663,5.555555556,1468,0.924148107
woodcraft,,664,4.296296296,2959,0.232641968
heroin,,665,4.423076923,1282,0.687493673
pill,,666,6.36,1960,0.334099984
